danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.42,0.109,8,-24.353,0,0.0417,0.925,0.948,0.112,0.119,114.013,314573,4,jazz
0.403,0.307,5,-13.426,1,0.0357,0.799,0.124,0.143,0.371,119.845,387450,4,jazz
0.459,0.204,3,-16.941,0,0.0365,0.935,0.905,0.0969,0.1,108.573,433787,3,jazz
0.487,0.135,2,-11.211,0,0.0434,0.915,0.00353,0.686,0.24,105.854,388347,5,jazz
0.592,0.231,6,-16.446,0,0.0371,0.833,0.911,0.0992,0.377,62.693,360354,4,jazz
0.382,0.239,6,-12.423,1,0.0325,0.94,0.755,0.106,0.141,67.643,176297,3,jazz
0.385,0.3,3,-12.746,1,0.0363,0.975,0.374,0.769,0.253,90.703,586186,4,jazz
0.456,0.257,10,-16.877,0,0.0298,0.859,0.475,0.111,0.181,104.311,243013,4,jazz
0.535,0.107,10,-18.989,0,0.0323,0.922,0.649,0.105,0.16,102.186,297653,4,jazz
0.428,0.187,10,-21.001,1,0.0375,0.935,0.853,0.103,0.186,108.962,285601,4,jazz
0.34,0.237,8,-14.901,1,0.0302,0.95,0.927,0.14,0.0716,162.892,305427,4,jazz
0.343,0.307,1,-14.526,1,0.0521,0.8,0.467,0.664,0.186,78.165,505032,4,jazz
0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,342373,3,jazz
0.384,0.13,8,-22.154,1,0.031,0.928,0.823,0.122,0.12,105.198,500507,4,jazz
0.478,0.0757,5,-20.847,1,0.0505,0.973,0.939,0.108,0.233,76.952,388040,4,jazz
0.385,0.0562,11,-14.812,1,0.0415,0.974,0.532,0.107,0.192,116.666,182653,4,jazz
0.4,0.144,10,-15.52,1,0.037,0.958,0.878,0.119,0.146,120.329,364627,4,jazz
0.296,0.0709,3,-14.832,0,0.0312,0.967,0.804,0.105,0.0696,95.028,340507,4,jazz
0.479,0.146,7,-14.319,1,0.0351,0.988,0.692,0.103,0.07,111.643,440133,3,jazz
0.317,0.0302,1,-30.447,1,0.0342,0.94,0.298,0.0792,0.165,47.859,234373,4,jazz
0.371,0.0295,10,-22.038,0,0.0335,0.986,0.937,0.125,0.258,82.313,66762,3,jazz
0.454,0.084,0,-18.621,1,0.0293,0.885,0.936,0.0958,0.0828,87.816,255107,4,jazz
0.505,0.159,7,-11.235,0,0.0336,0.946,0.0127,0.212,0.196,59.385,295200,4,jazz
0.55,0.249,5,-15.919,0,0.0325,0.929,0.828,0.258,0.296,121.37,484627,4,jazz
0.47,0.156,2,-17.036,1,0.0399,0.623,0.187,0.104,0.059,118.176,394920,4,jazz
0.447,0.163,8,-14.835,1,0.0707,0.992,0.776,0.654,0.197,74.933,1004627,3,jazz
0.421,0.0161,2,-25.358,0,0.0374,0.81,0.0021,0.0978,0.16,110.926,337733,4,jazz
0.446,0.242,8,-14.152,1,0.0368,0.87,0.497,0.105,0.171,126.681,492080,4,jazz
0.326,0.0575,4,-16.5,1,0.0393,0.99,0.887,0.281,0.301,127.397,168667,5,jazz
