danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.386,0.125,9,-19.892,0,0.0572,0.886,0.878,0.189,0.14,78.553,348533,3,jazz
0.42,0.0802,7,-21.795,1,0.04,0.905,0.857,0.135,0.0541,122.041,257693,3,jazz
0.428,0.3,0,-8.885,1,0.034,0.937,0.658,0.168,0.235,122.667,240093,5,jazz
0.399,0.307,1,-14.38,1,0.0347,0.912,0.623,0.115,0.0659,116.308,325587,4,jazz
0.336,0.328,7,-15.005,0,0.0386,0.93,0.732,0.111,0.222,184.007,314493,3,jazz
0.368,0.14,0,-15.005,0,0.045,0.901,0.874,0.0688,0.172,61.758,428973,4,jazz
0.52,0.0748,8,-24.477,1,0.0497,0.748,0.633,0.102,0.122,107.327,341667,4,jazz
0.423,0.158,0,-15.59,0,0.0346,0.717,0.0075,0.0975,0.185,106.974,335333,4,jazz
0.45,0.0437,10,-29.46,1,0.0374,0.971,0.88,0.0948,0.0988,63.938,289693,4,jazz
0.421,0.0967,7,-16.441,0,0.0509,0.91,0.415,0.218,0.183,77.401,763467,4,jazz
0.331,0.0861,5,-21.226,1,0.0354,0.918,0.902,0.106,0.152,107.436,507533,4,jazz
0.575,0.0935,3,-15.906,1,0.0858,0.978,0.452,0.109,0.301,65.23,258040,4,jazz
0.461,0.0389,0,-20.482,1,0.0399,0.899,0.015,0.0927,0.125,109.374,477173,4,jazz
0.633,0.12,5,-20.066,0,0.0428,0.971,0.871,0.121,0.456,115.51,149072,3,jazz
0.411,0.0416,1,-23.23,1,0.0414,0.96,0.925,0.064,0.0782,97.96,246067,4,jazz
0.458,0.217,5,-16.582,1,0.0328,0.827,0.805,0.194,0.128,107.506,482187,4,jazz
0.841,0.798,1,-4.206,0,0.229,0.153,0.00000333,0.0618,0.591,95.948,212500,4,pop
0.404,0.531,1,-4.328,1,0.103,0.215,0,0.0521,0.321,164.848,214227,4,pop
0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,pop
0.704,0.56,1,-6.791,0,0.179,0.185,0,0.0948,0.609,75.003,207109,4,pop
0.531,0.854,10,-3.149,1,0.198,0.288,0,0.0773,0.456,94.419,190000,4,pop
0.694,0.63,7,-6.84,0,0.162,0.0998,0.000635,0.12,0.341,90.045,189493,4,pop
0.575,0.33,7,-6.557,1,0.031,0.416,0,0.0872,0.277,95.801,217213,4,pop
0.669,0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.097,192537,4,pop
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,pop
0.755,0.625,2,-7.114,1,0.0896,0.49,0,0.157,0.374,147.02,174861,4,pop
0.719,0.703,5,-4.93,0,0.0392,0.032,0.0000114,0.0656,0.72,101.984,223000,4,pop
0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,183527,4,pop
0.755,0.615,4,-8.245,1,0.0454,0.00587,0.00000175,0.109,0.039,105.955,215364,4,pop
0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4,pop
0.657,0.569,2,-6.287,1,0.0542,0.201,0.0000138,0.126,0.399,102.054,233880,4,pop
0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,197947,4,pop
0.739,0.742,7,-4.586,1,0.0329,0.0227,0.00000139,0.229,0.659,124.016,189000,4,pop
0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,pop
0.499,0.638,0,-6.145,1,0.0438,0.129,0,0.631,0.253,89.98,239835,4,pop
0.826,0.615,8,-7.979,0,0.219,0.071,0,0.0965,0.543,98.056,225199,4,pop
0.499,0.181,9,-15.359,0,0.0429,0.745,0.00123,0.106,0.0747,111.956,214533,4,pop
0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,198947,4,pop
0.547,0.289,0,-8.131,1,0.0348,0.645,0,0.148,0.213,104.851,181913,3,pop
0.89,0.624,1,-3.966,1,0.103,0.0944,0.00000516,0.0903,0.762,116.046,169814,4,pop
0.82,0.582,2,-4.441,1,0.0454,0.428,0,0.0419,0.309,112.064,214027,4,pop
0.703,0.748,1,-6.047,1,0.0435,0.123,0,0.0642,0.625,111.943,184080,4,pop
0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,204665,4,pop
0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,210200,4,pop
0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,121347,4,pop
0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,205463,4,pop
0.652,0.897,7,-4.481,0,0.036,0.293,0,0.0722,0.475,114.033,193377,4,pop
0.738,0.629,6,-4.882,0,0.0495,0.268,0.00114,0.163,0.319,146.067,180898,4,pop
0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4,pop
0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,192172,4,pop
0.746,0.703,4,-4.179,0,0.107,0.352,0,0.331,0.667,166.043,179693,4,pop
